UretimID,ModelAdi,PersonelNo,ModelTipAdi,OperAdi,MakinaTipi,Uretim,Etut,BirimUretimZamani
464,CDKW24DTURQ-CLP18 SIYAH ELBISE,464,ELBISE,YAN ÇATMA,OVERLOK,43,75.0,203.56
509,CDKW24HLELO -CLP91  LEOPARD TSHIRT,509,T-SHIRT,ÖN KALITE KONTROL,MANUEL,11,65.0,203.55
299,2225757-2LI BÜRÜMCEK ELBISE,299,ELBISE,ARKA YAKA BÜZGÜ,REÇME,1,14.0,202.0
553,2228557 JISSO ELBISE,553,ELBISE,YAKA BIYE,REÇME,141,30.0,201.96
207,2228285 CARRIE ELBISE,207,ELBISE,FIRMA ETIKT HAZIRLIK,DÜZ,132,12.0,201.89
301,2228071 MILKY WAY SIYAH ELBISE,301,ELBISE,FIRFIR BEDENE TAKMA,DÜZ,84,103.0,201.26
12,2218178 ASKILI BÜRÜMCÜK ELBISE,12,ELBISE,BEDEN ALT ÜST TUTTUR,DÜZ,2,24.0,200.5
386,2222582 COMPONI,386,ELBISE,BEDEN ÜTÜ,ÜTÜ,1,50.0,200.0
326,TOLS24GDAME -CES90 T-SHIRT,326,T-SHIRT,ÖN KALITE KONTROL,MANUEL,5,48.0,199.6
329,2228557 JISSO ELBISE,329,ELBISE,ÖN KALITE KONTROL,MANUEL,100,45.0,199.16
558,2218178 ASKILI BÜRÜMCÜK ELBISE,558,ELBISE,BEDEN ÜTÜ,ÜTÜ,1,20.0,199.0
509,2222518 AMBER CEPLI T-SHIRT,509,T-SHIRT,ÖN KALITE KONTROL,MANUEL,1,48.0,199.0
153,2228071 MILKY WAY SIYAH ELBISE,153,ELBISE,FIRFIR KAPATMA,REÇME,73,55.0,198.68
33,2222546 BEGOTANA ELBISE,33,ELBISE,YAN ÇATMA,OVERLOK,1,48.0,198.0
315,2228557 JISSO ELBISE,315,ELBISE,KOL REÇME,REÇME,84,65.0,197.76
495,144430499 MIDI TUTU DRESS TÜL ELBISE,495,ELBISE,TÜL ASTAR BIRLSTME,OVERLOK,37,120.0,197.41
64,2228071 MILKY WAY SIYAH ELBISE,64,ELBISE,ÖN KALITE KONTROL,MANUEL,159,65.0,197.26
515,2222518 AMBER CEPLI T-SHIRT,515,T-SHIRT,KOL AGZI TUTTURMA,DÜZ,1,32.72,197.0
